language,id,name,url,birth_place,native_language,other_languages,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,mp3_url,age,sex,has_mp3,length_of_time_speaking_english,sample_length
arabic,19,arabic5,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=19,"casablanca, morocco",arabic,french,15.0,academic,usa,0.6,https://accent.gmu.edu/soundtracks/arabic5.mp3,19.0,female,True,4.0,502760.0
arabic,20,arabic6,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=20,"sanaa, yemen",arabic,none,14.5,academic,"uk,usa",2.0,https://accent.gmu.edu/soundtracks/arabic6.mp3,21.0,male,True,6.5,420846.0
arabic,21,arabic7,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=21,"casablanca, morocco",arabic,french,15.0,academic,usa,0.1,https://accent.gmu.edu/soundtracks/arabic7.mp3,18.0,female,True,3.0,484036.0
arabic,22,arabic8,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=22,"casablanca, morocco",arabic,french,17.0,academic,usa,0.7,https://accent.gmu.edu/soundtracks/arabic8.mp3,21.0,male,True,4.0,455430.0
arabic,23,arabic9,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=23,"jerusalem, israel",arabic,none,4.0,academic,usa,12.0,https://accent.gmu.edu/soundtracks/arabic9.mp3,28.0,female,True,24.0,555013.0
armenian,24,armenian1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=24,"yerevan, armenia",armenian,russian french,9.0,academic,usa,1.0,https://accent.gmu.edu/soundtracks/armenian1.mp3,19.0,female,True,10.0,386563.0
azerbaijani,25,azerbaijani1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=25,"naxcivan, azerbaijan",azerbaijani,russian,14.0,academic,usa,1.0,https://accent.gmu.edu/soundtracks/azerbaijani1.mp3,24.0,male,True,10.0,467674.0
bafang,26,bafang1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=26,"douala, cameroon",bafang,french,30.0,academic,usa,10.0,https://accent.gmu.edu/soundtracks/bafang1.mp3,40.0,male,True,10.0,651917.0
baga,27,baga1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=27,"conakry, guinea",baga,susu mandingo french,29.0,academic,usa,2.0,https://accent.gmu.edu/soundtracks/baga1.mp3,31.0,male,True,2.0,674424.0
bai,28,bai1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=28,"jianchuan, yunnan, china",bai,mandarin,40.0,academic,,0.0,https://accent.gmu.edu/soundtracks/bai1.mp3,43.0,female,True,3.0,972626.0
bamanankan,29,bambara1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=29,"bamako, mali",bambara,french,12.0,academic,usa,0.4,https://accent.gmu.edu/soundtracks/bambara1.mp3,15.5,female,True,3.5,570596.0
bamanankan,30,bambara2,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=30,"bamako, mali",bambara,french,18.0,academic,usa,2.0,https://accent.gmu.edu/soundtracks/bambara2.mp3,26.0,female,True,8.0,490149.0
bamun,31,bamun1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=31,"foumban, cameroon",bamun,french russian,15.0,academic,usa,2.0,https://accent.gmu.edu/soundtracks/bamun1.mp3,31.0,female,True,16.0,510073.0
basque,32,basque1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=32,"vizcaya, spain",basque,spanish,34.0,naturalistic,usa,35.0,https://accent.gmu.edu/soundtracks/basque1.mp3,69.0,female,True,35.0,1032052.0
basque,33,basque2,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=33,"guernica, spain",basque,spanish,19.0,naturalistic,usa,30.0,https://accent.gmu.edu/soundtracks/basque2.mp3,50.0,male,True,31.0,531462.0
bengali,34,bengali1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=34,"dhaka, bangladesh",bengali,hindi-urdu,16.0,academic,usa,1.0,https://accent.gmu.edu/soundtracks/bengali1.mp3,23.0,male,True,7.0,460396.0
bengali,35,bengali2,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=35,"lusaka, zambia",bengali,french,2.0,naturalistic,usa,21.0,https://accent.gmu.edu/soundtracks/bengali2.mp3,25.0,female,True,23.0,309278.0
bengali,36,bengali3,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=36,"dhaka, bangladesh",bengali,urdu hindi-urdu spanish,5.0,academic,usa,6.0,https://accent.gmu.edu/soundtracks/bengali3.mp3,19.0,female,True,14.0,441724.0
bengali,37,bengali4,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=37,"chittagong, bangladesh",bengali,hindi-urdu spanish,6.0,academic,usa,5.0,https://accent.gmu.edu/soundtracks/bengali4.mp3,24.0,male,True,18.0,480615.0
bosnian,38,bosnian1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=38,"doboj, bosnia and herzegovina",bosnian,german russian,37.0,academic,usa,2.0,https://accent.gmu.edu/soundtracks/bosnian1.mp3,39.0,male,True,2.0,533304.0
bosnian,39,bosnian2,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=39,"sarajevo, bosnia and herzegovina",bosnian,slovenian,10.0,naturalistic,usa,0.1,https://accent.gmu.edu/soundtracks/bosnian2.mp3,21.0,male,True,11.0,424449.0
bulgarian,40,bulgarian1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=40,"plovdiv, bulgaria",bulgarian,russian,16.0,academic,usa,7.0,https://accent.gmu.edu/soundtracks/bulgarian1.mp3,25.0,female,True,9.0,417133.0
bulgarian,41,bulgarian2,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=41,"sofia, bulgaria",bulgarian,russian,42.0,academic,usa,11.0,https://accent.gmu.edu/soundtracks/bulgarian2.mp3,53.0,female,True,11.0,642462.0
bulgarian,42,bulgarian3,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=42,"sofia, bulgaria",bulgarian,russian,10.0,academic,usa,10.0,https://accent.gmu.edu/soundtracks/bulgarian3.mp3,27.0,male,True,17.0,388746.0
bulgarian,43,bulgarian4,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=43,"plovdiv, bulgaria",bulgarian,russian,20.0,naturalistic,usa,2.0,https://accent.gmu.edu/soundtracks/bulgarian4.mp3,22.0,male,True,2.0,457062.0
bulgarian,44,bulgarian5,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=44,"sofia, bulgaria",bulgarian,russian,14.0,academic,usa,9.0,https://accent.gmu.edu/soundtracks/bulgarian5.mp3,23.0,male,True,9.0,456930.0
cantonese,45,cantonese1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=45,"hong kong, china",cantonese,mandarin,12.0,academic,usa,1.0,https://accent.gmu.edu/soundtracks/cantonese1.mp3,22.0,female,True,10.0,544832.0
cantonese,46,cantonese2,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=46,"hong kong, china",cantonese,mandarin,13.0,academic,usa,0.3,https://accent.gmu.edu/soundtracks/cantonese2.mp3,20.0,male,True,7.0,676469.0
cantonese,47,cantonese3,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=47,"hong kong, china",cantonese,french mandarin,6.0,academic,uk,0.1,https://accent.gmu.edu/soundtracks/cantonese3.mp3,22.0,male,True,16.0,354720.0
cantonese,48,cantonese4,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=48,"fuzhou, fujian, china",cantonese,mandarin,13.0,academic,usa,4.0,https://accent.gmu.edu/soundtracks/cantonese4.mp3,29.0,female,True,16.0,563552.0
cantonese,49,cantonese5,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=49,"hong kong, china",cantonese,mandarin,14.0,academic,new zealand,0.7,https://accent.gmu.edu/soundtracks/cantonese5.mp3,18.0,male,True,4.0,550967.0
carolinian,50,carolinian1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=50,"saipan, saipan, northern mariana islands",carolinian,chamorro chuukese,6.0,academic,usa,10.0,https://accent.gmu.edu/soundtracks/carolinian1.mp3,32.0,female,True,26.0,501551.0
catalan,51,catalan1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=51,"tarragona, spain",catalan,spanish french,13.0,academic,uk,0.2,https://accent.gmu.edu/soundtracks/catalan1.mp3,39.0,male,True,26.0,445653.0
chamorro,52,chamorro1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=52,"saipan, saipan, northern mariana islands",chamorro,japanese,1.0,naturalistic,usa,0.2,https://accent.gmu.edu/soundtracks/chamorro1.mp3,18.0,male,True,17.0,330057.0
czech,53,czech1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=53,"prague, czech republic",czech,russian spanish,10.5,academic,usa,1.5,https://accent.gmu.edu/soundtracks/czech1.mp3,27.0,female,True,16.5,387453.0
danish,54,danish1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=54,"horsens, denmark",danish,kiswahili,11.0,academic,usa,8.0,https://accent.gmu.edu/soundtracks/danish1.mp3,45.0,female,True,34.0,456809.0
danish,55,danish2,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=55,"haslev, denmark",danish,french italian,8.0,academic,usa,4.0,https://accent.gmu.edu/soundtracks/danish2.mp3,37.0,female,True,29.0,382658.0
dari,56,dari1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=56,"kabul, zoroastrian, afghanistan",dari,farsi urdu hindi-urdu,13.0,academic,usa,5.0,https://accent.gmu.edu/soundtracks/dari1.mp3,25.0,female,True,12.0,658524.0
dutch,57,dutch1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=57,"nijmegen, netherlands",dutch,german,13.0,academic,uk,0.1,https://accent.gmu.edu/soundtracks/dutch1.mp3,38.0,male,True,25.0,566166.0
dutch,58,dutch2,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=58,"amsterdam, netherlands",dutch,french german,14.0,academic,uk,0.1,https://accent.gmu.edu/soundtracks/dutch2.mp3,41.0,male,True,27.0,375896.0
ebira,59,ebira1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=59,"okene, nigeria",ebira,hausa,3.0,naturalistic,usa,7.0,https://accent.gmu.edu/soundtracks/ebira1.mp3,35.0,male,True,32.0,525680.0
edo,60,edo1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=60,"benin city, nigeria",edo,pidgin,6.0,academic,usa,4.0,https://accent.gmu.edu/soundtracks/edo1.mp3,25.0,male,True,19.0,587540.0
english,61,english1,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=61,"pittsburgh, pennsylvania, usa",english,mandarin,0.0,naturalistic,usa,41.0,https://accent.gmu.edu/soundtracks/english1.mp3,42.0,male,True,42.0,349947.0
english,62,english10,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=62,"davenport, iowa, usa",english,none,0.0,naturalistic,usa,35.0,https://accent.gmu.edu/soundtracks/english10.mp3,35.0,female,True,35.0,345164.0
english,63,english100,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=63,"miami, florida, usa",english,none,0.0,naturalistic,usa,23.0,https://accent.gmu.edu/soundtracks/english100.mp3,23.0,female,True,23.0,299578.0
english,64,english101,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=64,"toronto, ontario, canada",english,french mandarin,0.0,naturalistic,canada,18.0,https://accent.gmu.edu/soundtracks/english101.mp3,18.0,female,True,18.0,319616.0
english,65,english102,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=65,"torrington, connecticut, usa",english,none,0.0,naturalistic,usa,22.0,https://accent.gmu.edu/soundtracks/english102.mp3,22.0,male,True,22.0,349869.0
english,66,english103,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=66,"staten island, new york, usa",english,german,0.0,naturalistic,usa,21.0,https://accent.gmu.edu/soundtracks/english103.mp3,21.0,male,True,21.0,268000.0
english,67,english104,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=67,"youngstown, ohio, usa",english,spanish,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english104.mp3,18.0,female,True,18.0,312758.0
english,68,english11,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=68,"staffordshire, uk",english,french,0.0,naturalistic,uk,35.0,https://accent.gmu.edu/soundtracks/english11.mp3,35.0,female,True,35.0,334673.0
english,69,english12,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=69,"leicester, uk",english,french,0.0,naturalistic,uk,71.0,https://accent.gmu.edu/soundtracks/english12.mp3,71.0,female,True,71.0,405608.0
english,70,english13,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=70,"henley on thames, oxfordshire, uk",english,none,0.0,naturalistic,uk,69.0,https://accent.gmu.edu/soundtracks/english13.mp3,69.0,male,True,69.0,400485.0
english,71,english14,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=71,"belfast, northern ireland, uk",english,french,0.0,naturalistic,"uk,usa",40.0,https://accent.gmu.edu/soundtracks/english14.mp3,40.0,male,True,40.0,306123.0
english,72,english15,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=72,"norton, virginia, usa",english,none,0.0,naturalistic,usa,7.0,https://accent.gmu.edu/soundtracks/english15.mp3,7.0,female,True,7.0,440784.0
english,73,english16,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=73,"wise, virginia, usa",english,spanish,0.0,naturalistic,usa,21.0,https://accent.gmu.edu/soundtracks/english16.mp3,21.0,male,True,21.0,412422.0
english,74,english17,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=74,"darwin va, virginia, usa",english,none,0.0,naturalistic,usa,79.0,https://accent.gmu.edu/soundtracks/english17.mp3,79.0,male,True,79.0,355323.0
english,75,english18,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=75,"dickenson county, virginia, usa",english,none,0.0,naturalistic,usa,39.0,https://accent.gmu.edu/soundtracks/english18.mp3,39.0,female,True,39.0,333062.0
english,76,english19,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=76,"louisville, kentucky, usa",english,spanish,0.0,naturalistic,usa,53.0,https://accent.gmu.edu/soundtracks/english19.mp3,53.0,male,True,53.0,398501.0
english,77,english2,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=77,"birmingham, uk",english,german mandarin,0.0,naturalistic,uk,30.0,https://accent.gmu.edu/soundtracks/english2.mp3,30.0,female,True,30.0,337257.0
english,78,english20,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=78,"mt. holly, north carolina, usa",english,none,0.0,naturalistic,usa,27.0,https://accent.gmu.edu/soundtracks/english20.mp3,27.0,female,True,27.0,324611.0
english,79,english21,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=79,"boston, massachusetts, usa",english,italian,0.0,naturalistic,usa,37.0,https://accent.gmu.edu/soundtracks/english21.mp3,37.0,female,True,37.0,263369.0
english,80,english22,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=80,"panama city, panama",english,spanish,0.0,naturalistic,usa,5.0,https://accent.gmu.edu/soundtracks/english22.mp3,25.0,female,True,25.0,546275.0
english,81,english23,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=81,"englewood, tennessee, usa",english,none,0.0,naturalistic,usa,43.0,https://accent.gmu.edu/soundtracks/english23.mp3,43.0,male,True,43.0,412264.0
english,82,english24,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=82,"glasgow, scotland, uk",english,french,0.0,naturalistic,"uk,usa",37.0,https://accent.gmu.edu/soundtracks/english24.mp3,37.0,male,True,37.0,339109.0
english,83,english25,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=83,"atlanta, georgia, usa",english,none,0.0,naturalistic,usa,57.0,https://accent.gmu.edu/soundtracks/english25.mp3,57.0,male,True,57.0,369956.0
english,84,english26,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=84,"smith island, maryland, usa",english,none,0.0,naturalistic,usa,71.0,https://accent.gmu.edu/soundtracks/english26.mp3,71.0,male,True,71.0,485764.0
english,85,english27,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=85,"smith island, maryland, usa",english,none,0.0,naturalistic,usa,37.0,https://accent.gmu.edu/soundtracks/english27.mp3,37.0,female,True,37.0,390691.0
english,86,english28,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=86,"toronto, ontario, canada",english,french russian,0.0,naturalistic,canada,54.0,https://accent.gmu.edu/soundtracks/english28.mp3,54.0,male,True,54.0,421718.0
english,87,english29,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=87,"lindsay, ontario, canada",english,none,0.0,naturalistic,canada,54.0,https://accent.gmu.edu/soundtracks/english29.mp3,54.0,female,True,54.0,520897.0
english,88,english3,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=88,"brisbane, australia",english,none,0.0,naturalistic,australia,26.0,https://accent.gmu.edu/soundtracks/english3.mp3,26.0,female,True,26.0,315505.0
english,89,english30,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=89,"st. mary's, ontario, canada",english,french swedish,0.0,naturalistic,canada,30.0,https://accent.gmu.edu/soundtracks/english30.mp3,30.0,female,True,30.0,393529.0
english,90,english31,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=90,"st. augustine, trinidad",english,none,0.0,naturalistic,"trinidad,usa",31.0,https://accent.gmu.edu/soundtracks/english31.mp3,31.0,female,True,31.0,380486.0
english,91,english32,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=91,"fresno, california, usa",english,none,0.0,naturalistic,usa,50.0,https://accent.gmu.edu/soundtracks/english32.mp3,50.0,female,True,50.0,360551.0
english,92,english33,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=92,"san diego, california, usa",english,none,0.0,naturalistic,usa,21.0,https://accent.gmu.edu/soundtracks/english33.mp3,21.0,male,True,21.0,428968.0
english,93,english34,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=93,"ronkonkoma, new york, usa",english,french,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english34.mp3,18.0,female,True,18.0,282761.0
english,94,english35,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=94,"milwaukee, wisconsin, usa",english,spanish,0.0,naturalistic,usa,60.0,https://accent.gmu.edu/soundtracks/english35.mp3,60.0,female,True,60.0,340542.0
english,95,english36,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=95,"arcadia, wisconsin, usa",english,none,0.0,naturalistic,usa,60.0,https://accent.gmu.edu/soundtracks/english36.mp3,60.0,male,True,60.0,335770.0
english,96,english37,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=96,"yole, india",english,hindi-urdu french,0.0,naturalistic,usa,7.0,https://accent.gmu.edu/soundtracks/english37.mp3,28.0,female,True,28.0,427334.0
english,97,english38,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=97,"littlehampton, uk",english,none,0.0,naturalistic,uk,27.0,https://accent.gmu.edu/soundtracks/english38.mp3,27.0,male,True,27.0,379619.0
english,98,english39,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=98,"new orleans, louisiana, usa",english,none,0.0,naturalistic,usa,59.0,https://accent.gmu.edu/soundtracks/english39.mp3,59.0,female,True,59.0,364275.0
english,99,english4,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=99,"saint anne's bay, jamaica",english,spanish french,0.0,naturalistic,"jamaica,usa",53.0,https://accent.gmu.edu/soundtracks/english4.mp3,53.0,female,True,53.0,575585.0
english,100,english40,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=100,"dudley, uk",english,none,0.0,naturalistic,uk,53.0,https://accent.gmu.edu/soundtracks/english40.mp3,53.0,male,True,53.0,410900.0
english,101,english41,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=101,"wellington, new zealand",english,hebrew french,0.0,naturalistic,new zealand,21.0,https://accent.gmu.edu/soundtracks/english41.mp3,44.0,male,True,44.0,395009.0
english,102,english42,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=102,"nigel, south africa",english,afrikaans zulu,0.0,naturalistic,south africa,60.0,https://accent.gmu.edu/soundtracks/english42.mp3,65.0,male,True,65.0,377278.0
english,103,english43,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=103,"vancouver, british columbia, canada",english,none,0.0,naturalistic,canada,47.0,https://accent.gmu.edu/soundtracks/english43.mp3,47.0,male,True,47.0,341016.0
english,104,english44,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=104,"winston salem, north carolina, usa",english,spanish french,0.0,naturalistic,usa,63.0,https://accent.gmu.edu/soundtracks/english44.mp3,63.0,female,True,63.0,387908.0
english,105,english45,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=105,"pine bluff, arkansas, usa",english,none,0.0,naturalistic,usa,52.0,https://accent.gmu.edu/soundtracks/english45.mp3,52.0,male,True,52.0,501793.0
english,106,english46,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=106,"creswell, north carolina, usa",english,none,0.0,naturalistic,usa,73.0,https://accent.gmu.edu/soundtracks/english46.mp3,73.0,male,True,73.0,414058.0
english,107,english47,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=107,"plantersville, arkansas, usa",english,none,0.0,naturalistic,usa,76.0,https://accent.gmu.edu/soundtracks/english47.mp3,76.0,female,True,76.0,402170.0
english,108,english48,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=108,"port moresby, national capital district, papua new guinea",english,tok pisin igbo,0.0,naturalistic,"papua new guinea,uk,usa",26.0,https://accent.gmu.edu/soundtracks/english48.mp3,26.0,male,True,26.0,401953.0
english,109,english49,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=109,"castro valley, california, usa",english,none,0.0,naturalistic,usa,43.0,https://accent.gmu.edu/soundtracks/english49.mp3,43.0,male,True,43.0,373005.0
english,110,english5,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=110,"fairfax, virginia, usa",english,none,0.0,naturalistic,usa,62.0,https://accent.gmu.edu/soundtracks/english5.mp3,62.0,male,True,62.0,475839.0
english,111,english50,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=111,"baltic, south dakota, usa",english,french,0.0,naturalistic,usa,29.0,https://accent.gmu.edu/soundtracks/english50.mp3,29.0,female,True,29.0,372499.0
english,112,english51,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=112,"detroit, michigan, usa",english,italian,0.0,naturalistic,usa,67.0,https://accent.gmu.edu/soundtracks/english51.mp3,67.0,male,True,67.0,379867.0
english,113,english52,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=113,"calgary, alberta, canada",english,none,0.0,naturalistic,"canada, usa",20.0,https://accent.gmu.edu/soundtracks/english52.mp3,20.0,male,True,20.0,401967.0
english,114,english53,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=114,"syracuse, new york, usa",english,none,0.0,naturalistic,usa,63.0,https://accent.gmu.edu/soundtracks/english53.mp3,63.0,male,True,63.0,383408.0
english,115,english54,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=115,"new albany, indiana, usa",english,none,0.0,naturalistic,usa,40.0,https://accent.gmu.edu/soundtracks/english54.mp3,40.0,female,True,40.0,372262.0
english,116,english55,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=116,"st. louis, missouri, usa",english,none,0.0,naturalistic,usa,53.0,https://accent.gmu.edu/soundtracks/english55.mp3,53.0,female,True,53.0,354841.0
