language,id,name,url,birth_place,native_language,other_languages,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,mp3_url,age,sex,has_mp3,length_of_time_speaking_english,sample_length,age_rank,index
english,573,english176,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=573,"elizabeth city, north carolina, usa",english,spanish french afrikaans,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english176.mp3,18.0,female,True,18.0,361117.0,low_age,31
english,584,english179,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=584,"huron, south dakota, usa",english,german russian,0.0,naturalistic,usa,55.0,https://accent.gmu.edu/soundtracks/english179.mp3,57.0,male,True,57.0,386404.0,high_age,32
english,586,english181,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=586,"new eagle, pennsylvania, usa",english,none,0.0,naturalistic,usa,68.0,https://accent.gmu.edu/soundtracks/english181.mp3,68.0,male,True,68.0,358472.0,high_age,33
english,597,english184,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=597,"hillsboro, oregon, usa",english,spanish,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english184.mp3,18.0,female,True,18.0,308028.0,low_age,34
english,617,english189,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=617,"grand forks, north dakota, usa",english,none,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english189.mp3,19.0,male,True,19.0,345508.0,low_age,35
english,673,english202,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=673,"crisfield, maryland, usa",english,esperanto,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english202.mp3,19.0,male,True,19.0,415276.0,low_age,36
english,674,english203,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=674,"boston, massachusetts, usa",english,german french,0.0,naturalistic,usa,31.0,https://accent.gmu.edu/soundtracks/english203.mp3,63.0,female,True,63.0,473645.0,high_age,37
english,749,english220,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=749,"anaheim, california, usa",english,none,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english220.mp3,18.0,female,True,18.0,352000.0,low_age,38
english,764,english222,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=764,"auburn, indiana, usa",english,none,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english222.mp3,18.0,female,True,18.0,300000.0,low_age,39
english,767,english223,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=767,"erie, pennsylvania, usa",english,none,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english223.mp3,18.0,male,True,18.0,353885.0,low_age,40
english,818,english242,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=818,"laurel, mississippi, usa",english,none,0.0,naturalistic,usa,77.0,https://accent.gmu.edu/soundtracks/english242.mp3,77.0,female,True,77.0,467531.0,high_age,41
english,871,english260,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=871,"phoenix, arizona, usa",english,none,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english260.mp3,18.0,female,True,18.0,295358.0,low_age,42
english,875,english261,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=875,"forestville, maryland, usa",english,spanish,0.0,naturalistic,usa,59.0,https://accent.gmu.edu/soundtracks/english261.mp3,59.0,female,True,59.0,545205.0,high_age,43
english,876,english262,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=876,"naylor, maryland, usa",english,german,0.0,naturalistic,usa,60.0,https://accent.gmu.edu/soundtracks/english262.mp3,60.0,male,True,60.0,437435.0,high_age,44
english,899,english266,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=899,"san diego, california, usa",english,french spanish,0.0,,usa,18.0,https://accent.gmu.edu/soundtracks/english266.mp3,18.0,male,True,18.0,336142.0,low_age,45
english,921,english278,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=921,"augusta, georgia, usa",english,none,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english278.mp3,18.0,female,True,18.0,364429.0,low_age,46
english,951,english283,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=951,"pelham, new york, usa",english,spanish,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english283.mp3,18.0,male,True,18.0,386812.0,low_age,47
english,983,english289,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=983,"fairfax, virginia, usa",english,italian spanish latin french,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english289.mp3,19.0,female,True,19.0,329097.0,low_age,48
english,1071,english297,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1071,"lindenhurst, new york, usa",english,german,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english297.mp3,19.0,male,True,19.0,301117.0,low_age,49
english,1208,english330,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1208,"augusta, georgia, usa",english,french,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english330.mp3,18.0,female,True,18.0,337358.0,low_age,50
english,1216,english335,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1216,"washington, district of columbia, usa",english,none,0.0,naturalistic,usa,6.0,https://accent.gmu.edu/soundtracks/english335.mp3,6.0,male,True,6.0,463973.0,low_age,51
english,1218,english337,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1218,"jersey city, new jersey, usa",english,none,0.0,naturalistic,"usa, canada",84.0,https://accent.gmu.edu/soundtracks/english337.mp3,84.0,female,True,84.0,397319.0,high_age,52
english,1222,english340,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1222,"charleston, west virginia, usa",english,none,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english340.mp3,19.0,male,True,19.0,294772.0,low_age,53
english,1232,english344,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1232,"lumberton, north carolina, usa",english,french spanish,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english344.mp3,19.0,female,True,19.0,395553.0,low_age,54
english,1235,english346,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1235,"east hartford, connecticut, usa",english,french,0.0,naturalistic,usa,60.0,https://accent.gmu.edu/soundtracks/english346.mp3,60.0,male,True,60.0,411474.0,high_age,55
english,1256,english355,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1256,"los angeles, california, usa",english,vietnamese,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english355.mp3,19.0,male,True,19.0,428548.0,low_age,56
english,1277,english360,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1277,"erie, pennsylvania, usa",english,hebrew,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english360.mp3,19.0,female,True,19.0,384972.0,low_age,57
english,1307,english372,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1307,"christiansburg, virginia, usa",english,none,0.0,naturalistic,usa,80.0,https://accent.gmu.edu/soundtracks/english372.mp3,80.0,male,True,80.0,518715.0,high_age,58
english,1324,english381,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1324,"pike county, kentucky, usa",english,none,0.0,naturalistic,usa,85.0,https://accent.gmu.edu/soundtracks/english381.mp3,85.0,male,True,85.0,597439.0,high_age,59
english,1327,english384,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1327,"williamson, west virginia, usa",english,none,0.0,naturalistic,usa,57.0,https://accent.gmu.edu/soundtracks/english384.mp3,57.0,male,True,57.0,400146.0,high_age,60
english,1328,english385,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1328,"mcveigh, kentucky, usa",english,none,0.0,naturalistic,usa,77.0,https://accent.gmu.edu/soundtracks/english385.mp3,77.0,female,True,77.0,566551.0,high_age,61
english,1332,english388,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1332,"bluefield, west virginia, usa",english,none,0.0,naturalistic,usa,70.0,https://accent.gmu.edu/soundtracks/english388.mp3,70.0,female,True,70.0,497868.0,high_age,62
english,1334,english390,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1334,"milwaukee, wisconsin, usa",english,mandarin taiwanese,0.0,naturalistic,usa,67.0,https://accent.gmu.edu/soundtracks/english390.mp3,74.0,male,True,74.0,621751.0,high_age,63
english,1335,english391,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1335,"milton, florida, usa",english,none,0.0,naturalistic,usa,84.0,https://accent.gmu.edu/soundtracks/english391.mp3,84.0,female,True,84.0,514058.0,high_age,64
english,1336,english392,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1336,"warrenton, virginia, usa",english,none,0.0,naturalistic,usa,62.0,https://accent.gmu.edu/soundtracks/english392.mp3,62.0,male,True,62.0,664473.0,high_age,65
english,1337,english393,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1337,"washington, district of columbia, usa",english,french,0.0,naturalistic,usa,58.0,https://accent.gmu.edu/soundtracks/english393.mp3,58.0,female,True,58.0,424774.0,high_age,66
english,1339,english394,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1339,"aiken, south carolina, usa",english,none,0.0,naturalistic,usa,82.0,https://accent.gmu.edu/soundtracks/english394.mp3,82.0,female,True,82.0,460181.0,high_age,67
english,1342,english397,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1342,"wadesboro, north carolina, usa",english,none,0.0,naturalistic,usa,76.0,https://accent.gmu.edu/soundtracks/english397.mp3,76.0,female,True,76.0,544451.0,high_age,68
english,1343,english398,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1343,"salisbury, north carolina, usa",english,none,0.0,naturalistic,usa,83.0,https://accent.gmu.edu/soundtracks/english398.mp3,83.0,female,True,83.0,579089.0,high_age,69
english,1345,english399,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1345,"la grange, georgia, usa",english,none,0.0,naturalistic,usa,80.0,https://accent.gmu.edu/soundtracks/english399.mp3,80.0,female,True,80.0,537392.0,high_age,70
english,1361,english408,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1361,"lynwood, california, usa",english,spanish,0.0,naturalistic,usa,64.0,https://accent.gmu.edu/soundtracks/english408.mp3,64.0,male,True,64.0,395304.0,high_age,71
english,1409,english424,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1409,"danville, virginia, usa",english,none,0.0,naturalistic,usa,75.0,https://accent.gmu.edu/soundtracks/english424.mp3,75.0,male,True,75.0,379577.0,high_age,72
english,1412,english427,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1412,"hanover, pennsylvania, usa",english,none,0.0,naturalistic,usa,68.0,https://accent.gmu.edu/soundtracks/english427.mp3,68.0,female,True,68.0,272510.0,high_age,73
english,1416,english429,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1416,"philadelphia, pennsylvania, usa",english,german,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english429.mp3,19.0,female,True,19.0,341138.0,low_age,74
english,1524,english441,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1524,"oquawka, illinois, usa",english,french,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english441.mp3,19.0,female,True,19.0,391006.0,low_age,75
english,1532,english445,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1532,"san francisco, california, usa",english,mandarin,0.0,naturalistic,usa,59.0,https://accent.gmu.edu/soundtracks/english445.mp3,60.0,male,True,60.0,459841.0,high_age,76
english,1550,english454,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1550,"raleigh, north carolina, usa",english,spanish,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english454.mp3,19.0,female,True,19.0,364192.0,low_age,77
english,1560,english459,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1560,"charlotte, north carolina, usa",english,french german,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english459.mp3,19.0,male,True,19.0,368141.0,low_age,78
english,1637,english466,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1637,"portland, maine, usa",english,none,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english466.mp3,18.0,male,True,18.0,337970.0,low_age,79
english,1658,english476,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1658,"manchester, new hampshire, usa",english,none,0.0,naturalistic,usa,64.0,https://accent.gmu.edu/soundtracks/english476.mp3,64.0,female,True,64.0,368965.0,high_age,80
english,1664,english479,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1664,"new york, new york, usa",english,none,0.0,naturalistic,usa,64.0,https://accent.gmu.edu/soundtracks/english479.mp3,64.0,female,True,64.0,364779.0,high_age,81
english,1665,english480,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1665,"winston-salem, north carolina, usa",english,none,0.0,naturalistic,usa,58.0,https://accent.gmu.edu/soundtracks/english480.mp3,58.0,male,True,58.0,413877.0,high_age,82
english,1666,english481,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1666,"stringtown, oklahoma, usa",english,german spanish,0.0,naturalistic,usa,82.0,https://accent.gmu.edu/soundtracks/english481.mp3,88.0,female,True,88.0,560877.0,high_age,83
english,1667,english482,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1667,"yeadon, pennsylvania, usa",english,none,0.0,naturalistic,usa,74.0,https://accent.gmu.edu/soundtracks/english482.mp3,74.0,female,True,74.0,458103.0,high_age,84
english,1668,english483,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1668,"boston, massachusetts, usa",english,spanish,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english483.mp3,19.0,male,True,19.0,300061.0,low_age,85
english,1734,english501,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1734,"pittsburgh, pennsylvania, usa",english,none,0.0,naturalistic,usa,64.0,https://accent.gmu.edu/soundtracks/english501.mp3,64.0,female,True,64.0,416627.0,high_age,86
english,1803,english510,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1803,"philadelphia, pennsylvania, usa",english,french,0.0,naturalistic,usa,66.0,https://accent.gmu.edu/soundtracks/english510.mp3,66.0,female,True,66.0,387121.0,high_age,87
english,1872,english514,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1872,"youngstown, ohio, usa",english,none,0.0,naturalistic,usa,57.0,https://accent.gmu.edu/soundtracks/english514.mp3,57.0,male,True,57.0,358191.0,high_age,88
english,1888,english523,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1888,"madison, wisconsin, usa",english,arabic french,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english523.mp3,18.0,female,True,18.0,310590.0,low_age,89
english,1890,english524,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1890,"downers grove, illinois, usa",english,none,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english524.mp3,19.0,male,True,19.0,358344.0,low_age,90
english,1893,english525,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1893,"albion, new york, usa",english,none,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english525.mp3,18.0,female,True,18.0,362231.0,low_age,91
english,1959,english539,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1959,"orange county, california, usa",english,none,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english539.mp3,19.0,female,True,19.0,310219.0,low_age,92
english,1960,english540,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1960,"arlington, virginia, usa",english,japanese,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english540.mp3,18.0,female,True,18.0,326937.0,low_age,93
english,1997,english547,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=1997,"tangier island, virginia, usa",english,none,0.0,naturalistic,usa,63.0,https://accent.gmu.edu/soundtracks/english547.mp3,63.0,male,True,63.0,439766.0,high_age,94
english,2028,english550,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2028,"fredericksburg, virginia, usa",english,none,0.0,naturalistic,usa,82.0,https://accent.gmu.edu/soundtracks/english550.mp3,82.0,male,True,82.0,564036.0,high_age,95
english,2029,english551,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2029,"king george, virginia, usa",english,none,0.0,naturalistic,usa,81.0,https://accent.gmu.edu/soundtracks/english551.mp3,81.0,female,True,81.0,456365.0,high_age,96
english,2049,english555,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2049,"brooklyn, new york, usa",english,yiddish spanish,0.0,naturalistic,usa,90.0,https://accent.gmu.edu/soundtracks/english555.mp3,90.0,male,True,90.0,452325.0,high_age,97
english,2050,english556,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2050,"brooklyn, new york, usa",english,yiddish,0.0,naturalistic,usa,84.0,https://accent.gmu.edu/soundtracks/english556.mp3,84.0,female,True,84.0,441365.0,high_age,98
english,2056,english559,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2056,"reston, virginia, usa",english,spanish,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english559.mp3,19.0,female,True,19.0,415224.0,low_age,99
english,2103,english568,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2103,"quincy, florida, usa",english,none,0.0,naturalistic,usa,86.0,https://accent.gmu.edu/soundtracks/english568.mp3,86.0,female,True,86.0,447495.0,high_age,100
english,2167,english576,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2167,"washington, dc, usa",english,french italian,0.0,naturalistic,usa,63.0,https://accent.gmu.edu/soundtracks/english576.mp3,63.0,female,True,63.0,472945.0,high_age,101
english,2374,english590,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2374,"lakeland, florida, usa",english,none,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english590.mp3,19.0,female,True,19.0,393633.0,low_age,102
english,2428,english603,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2428,"los angeles, california, usa",english,mandarin taiwanese,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english603.mp3,18.0,male,True,18.0,358127.0,low_age,103
english,2606,english614,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2606,"pensacola, florida, usa",english,none,0.0,naturalistic,usa,93.0,https://accent.gmu.edu/soundtracks/english614.mp3,93.0,female,True,93.0,694558.0,high_age,104
english,2674,english618,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2674,"fullerton, california, usa",english,swedish spanish french hebrew,0.0,naturalistic,usa,36.0,https://accent.gmu.edu/soundtracks/english618.mp3,58.0,male,True,58.0,341564.0,high_age,105
english,2793,english621,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2793,"pittsburgh, pennsylvania, usa",english,french,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english621.mp3,19.0,female,True,19.0,367388.0,low_age,106
english,2803,english623,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2803,"fort wayne, indiana, usa",english,german,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english623.mp3,19.0,male,True,19.0,293538.0,low_age,107
english,2804,english624,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2804,"washington, district of columbia, usa",english,none,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english624.mp3,18.0,male,True,18.0,329857.0,low_age,108
english,2896,english631,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2896,"harrisonburg, virginia, usa",english,none,0.0,naturalistic,usa,18.0,https://accent.gmu.edu/soundtracks/english631.mp3,18.0,female,True,18.0,307039.0,low_age,109
english,2916,english634,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2916,"alexandria, virginia, usa",english,none,0.0,naturalistic,usa,61.0,https://accent.gmu.edu/soundtracks/english634.mp3,61.0,male,True,61.0,431232.0,high_age,110
english,2917,english635,https://accent.gmu.edu/browse_language.php?function=detail&speakerid=2917,"vienna, virginia, usa",english,none,0.0,naturalistic,usa,19.0,https://accent.gmu.edu/soundtracks/english635.mp3,19.0,female,True,19.0,320567.0,low_age,111
