expressed_emotion,emotion_intensity,stimulus_id,sentences,semantically_neutral,number_of_surveys,raw_taget_emotion_score,raw_control_emotion_1_score,raw_control_emotion_2_score,raw_control_emotion_3_score,raw_control_emotion_4_score,raw_control_none_of_the_above_score,p_value,control_taget_emotion_score,control_control_emotion_1_score,control_control_emotion_2_score,control_control_emotion_3_score,control_control_emotion_4_score,control_control_none_of_the_above_score,valence,intensity,arousal,target_emotion,control_emotion,control_emotion_2,control_emotion_3,control_emotion_4,control_emotion_5,original_id,speaker_id,speaker_age,speaker_gender,fixed_audio,stimulus_dir,id_corrected,file_exists,sample_length,path
Bored,High,OV8B,How much longer!,no,20,65.0,30.0,0.0,0.0,5.0,0.0,1.7976531563324016e-07,57.831325301204814,15.662650602409636,0.0,0.0,0.0,0.0,1.9,3.8,3.3,Bored,Frustrated,Sad,Hurt,Excited,None of the above,O-V8B,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Bored,False,True,38784.0,data/EU_Emotion_Stimulus_Set/Original/Bored/OV8B.wav
Bored,High,OV8A,There is nothing to do,no,22,77.27272727272727,9.090909090909092,0.0,9.090909090909092,0.0,4.545454545454546,6.61471544205483e-10,72.61774370208104,0.0,0.0,0.0,0.0,0.0,2.22727272727273,3.0,2.5,Bored,Frustrated,Sad,Hurt,Excited,None of the above,O-V8A,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Bored,False,True,34176.0,data/EU_Emotion_Stimulus_Set/Original/Bored/OV8A.wav
Bored,High,OV8D,Is it almost over? ,yes,22,86.36363636363636,0.0,0.0,0.0,4.545454545454546,9.090909090909092,4.474198789239381e-14,83.57064622124864,0.0,0.0,0.0,0.0,0.0,1.81818181818182,3.13636363636364,2.86363636363636,Bored,Frustrated,Sad,Hurt,Excited,None of the above,O-V8D,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Bored,False,True,41088.0,data/EU_Emotion_Stimulus_Set/Original/Bored/OV8D.wav
Disappointed,High,OV9C,What will we do now? ,yes,22,18.181818181818183,81.81818181818183,0.0,0.0,0.0,0.0,0.29964316877179,1.4238773274917844,78.09419496166484,0.0,0.0,0.0,0.0,2.5,3.27272727272727,3.0,Disappointed,Worried,Bored,Afraid,Joking ,None of the above,O-V9C,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Disappointed,False,True,38784.0,data/EU_Emotion_Stimulus_Set/Original/Disappointed/OV9C.wav
Disappointed,High,OV9A,There aren’t any left,no,21,57.14285714285714,14.285714285714285,23.809523809523807,0.0,0.0,4.761904761904762,4.079328780548508e-06,48.36488812392426,0.0,8.20424555364314,0.0,0.0,0.0,3.15,2.95,3.15,Disappointed,Worried,Bored,Afraid,Joking ,None of the above,O-V9A,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Disappointed,False,True,33408.0,data/EU_Emotion_Stimulus_Set/Original/Disappointed/OV9A.wav
Disappointed,High,OV9D,"Yes, it happened again",yes,23,60.86956521739131,21.73913043478261,4.3478260869565215,4.3478260869565215,0.0,8.695652173913043,2.689146278989085e-07,52.85489785227868,5.709795704557358,0.0,0.0,0.0,0.0,2.82608695652174,2.73913043478261,2.60869565217391,Disappointed,Worried,Bored,Afraid,Joking ,None of the above,O-V9D,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Disappointed,False,True,40704.0,data/EU_Emotion_Stimulus_Set/Original/Disappointed/OV9D.wav
Disappointed,High,OV9B,I tried so hard,no,21,95.23809523809523,0.0,0.0,0.0,0.0,4.761904761904762,4.884981308350689e-15,94.2627653471027,0.0,0.0,0.0,0.0,0.0,2.19047619047619,3.80952380952381,3.38095238095238,Disappointed,Worried,Bored,Afraid,Joking ,None of the above,O-V9B,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Disappointed,False,True,37248.0,data/EU_Emotion_Stimulus_Set/Original/Disappointed/OV9B.wav
Disgusted,High,OV5C,It was always like that ,yes,22,4.545454545454546,0.0,72.72727272727273,13.636363636363635,4.545454545454546,4.545454545454546,0.9021848001077919,0.0,0.0,67.14129244249726,0.0,0.0,0.0,2.31818181818182,3.31818181818182,3.13636363636364,Disgusted,Afraid,Frustrated,Sad,Interested,None of the above,O-V5C,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Disgusted,False,True,45696.0,data/EU_Emotion_Stimulus_Set/Original/Disgusted/OV5C.wav
Disgusted,High,fix__OV5G,Here we go again ,yes,21,9.523809523809524,23.809523809523807,42.857142857142854,19.047619047619047,0.0,4.761904761904762,0.70438072921466,0.0,8.20424555364314,31.153184165232357,2.467010900745838,0.0,0.0,1.857142857,3.333333333,3.047619048,Disgusted,Afraid,Frustrated,Sad,Interested,None of the above,O-V5Gx,O,21,Female,True,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Disgusted,False,True,41856.0,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Disgusted/fix__OV5G.wav
Disgusted,High,fix__OV5H,Is this for me?,yes,21,52.38095238095239,4.761904761904762,9.523809523809524,0.0,23.809523809523807,9.523809523809524,3.0248965602996947e-05,42.62765347102697,0.0,0.0,0.0,8.20424555364314,0.0,2.476190476,3.0,3.142857143,Disgusted,Afraid,Frustrated,Sad,Interested,None of the above,O-V5Hx,O,21,Female,True,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Disgusted,False,True,38784.0,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Disgusted/fix__OV5H.wav
Disgusted,High,OV5D,I knew it from the start,yes,22,54.54545454545454,0.0,36.36363636363637,4.545454545454546,0.0,4.545454545454546,5.6418602425445386e-05,45.23548740416209,0.0,23.329682365826944,0.0,0.0,0.0,1.90909090909091,3.68181818181818,3.40909090909091,Disgusted,Afraid,Frustrated,Sad,Interested,None of the above,O-V5D,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Disgusted,False,True,41856.0,data/EU_Emotion_Stimulus_Set/Original/Disgusted/OV5D.wav
Disgusted,High,OV5A,"Ugh, cover your mouth when you sneeze!",no,24,58.333333333333336,0.0,25.0,12.5,4.166666666666666,0.0,6.057541739323824e-07,49.799196787148595,0.0,9.638554216867469,0.0,0.0,0.0,2.04166666666667,3.91666666666667,3.58333333333333,Disgusted,Afraid,Frustrated,Sad,Interested,None of the above,O-V5A,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Disgusted,False,True,53376.0,data/EU_Emotion_Stimulus_Set/Original/Disgusted/OV5A.wav
Disgusted,High,OV5F,What's all this? ,yes,21,80.95238095238095,0.0,9.523809523809524,4.761904761904762,4.761904761904762,0.0,7.822631431508853e-12,77.05106138841079,0.0,0.0,0.0,0.0,0.0,1.76190476190476,3.71428571428571,3.23809523809524,Disgusted,Afraid,Frustrated,Sad,Interested,None of the above,O-V5F,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Disgusted,False,True,34176.0,data/EU_Emotion_Stimulus_Set/Original/Disgusted/OV5F.wav
Disgusted,High,OV5B,Oh how nasty,no,20,85.0,0.0,5.0,0.0,5.0,5.0,1.3268275367295246e-12,81.92771084337349,0.0,0.0,0.0,0.0,0.0,2.25,3.55,3.6,Disgusted,Afraid,Frustrated,Sad,Interested,None of the above,O-V5B,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Disgusted,False,True,39168.0,data/EU_Emotion_Stimulus_Set/Original/Disgusted/OV5B.wav
Excited,High,OV7D,Is it almost over? ,yes,21,14.285714285714285,33.33333333333333,0.0,19.047619047619047,23.809523809523807,9.523809523809524,0.47310212324730583,0.0,19.678714859437747,0.0,2.467010900745838,8.20424555364314,0.0,2.85714285714286,3.38095238095238,2.95238095238095,Excited,Interested,Joking ,Hurt,Bored,None of the above,O-V7D,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Excited,False,True,29568.0,data/EU_Emotion_Stimulus_Set/Original/Excited/OV7D.wav
Excited,High,fix__OV7C,What will we do now? ,yes,25,36.0,48.0,4.0,0.0,8.0,4.0,0.004742551224615532,22.89156626506024,37.34939759036144,0.0,0.0,0.0,0.0,3.6,3.48,3.24,Excited,Interested,Joking ,Hurt,Bored,None of the above,O-V7Cx,O,21,Female,True,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Excited,False,True,29184.0,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Excited/fix__OV7C.wav
Excited,High,OV7E,"Yes, it will happen again",yes,20,60.0,10.0,10.0,5.0,0.0,15.0,1.8362170529639954e-06,51.80722891566265,0.0,0.0,0.0,0.0,0.0,3.8,3.25,2.55,Excited,Interested,Joking ,Hurt,Bored,None of the above,O-V7E,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Excited,False,True,34944.0,data/EU_Emotion_Stimulus_Set/Original/Excited/OV7E.wav
Excited,High,OV7B,I can’t wait,no,20,70.0,5.0,0.0,0.0,10.0,15.0,1.4120141944573561e-08,63.85542168674698,0.0,0.0,0.0,0.0,0.0,3.9,3.65,3.45,Excited,Interested,Joking ,Hurt,Bored,None of the above,O-V7B,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Excited,False,True,30336.0,data/EU_Emotion_Stimulus_Set/Original/Excited/OV7B.wav
Happy,High,OV1G,It was always like that,yes,23,8.695652173913043,30.434782608695656,4.3478260869565215,0.0,17.391304347826086,39.130434782608695,0.7627075706318656,0.0,16.186485070717655,0.0,0.0,0.47145102147721113,26.663174436877952,3.30434782608696,3.26086956521739,2.82608695652174,Happy,Interested,Surprised,Bored,Angry,None of the above,O-V1G,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Happy,False,True,31488.0,data/EU_Emotion_Stimulus_Set/Original/Happy/OV1G.wav
Happy,High,fix__OV1H,Is this for me?,yes,21,9.523809523809524,28.57142857142857,52.38095238095239,4.761904761904762,0.0,4.761904761904762,0.70438072921466,0.0,13.941480206540444,42.62765347102697,0.0,0.47145102147721113,0.0,3.571428571,3.333333333,3.047619048,Happy,Interested,Surprised,Bored,Angry,None of the above,O-V1Hx,O,21,Female,True,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Happy,False,True,29952.0,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Happy/fix__OV1H.wav
Happy,High,fix__OV1C,I knew it from the start ,yes,21,23.809523809523807,19.047619047619047,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,0.26495137787668677,8.20424555364314,2.467010900745838,0.0,0.0,0.0,0.0,4.0952380952381,3.61904761904762,3.38095238095238,Happy,Interested,Surprised,Bored,Angry,None of the above,O-V1Cx,O,21,Female,True,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Happy,False,True,40704.0,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Happy/fix__OV1C.wav
Happy,High,OV1E,I knew it would happen,yes,20,35.0,10.0,15.0,0.0,30.0,10.0,0.01125328464287434,21.686746987951803,0.0,0.0,0.0,15.662650602409636,0.0,3.4,3.75,3.55,Happy,Interested,Surprised,Bored,Angry,None of the above,O-V1E,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Happy,False,True,27648.0,data/EU_Emotion_Stimulus_Set/Original/Happy/OV1E.wav
Happy,High,OV1D,Here we go again,yes,21,61.904761904761905,0.0,4.761904761904762,0.0,23.809523809523807,9.523809523809524,4.558406052623809e-07,54.102122776821574,0.0,0.0,0.0,8.20424555364314,0.0,3.85714285714286,3.76190476190476,3.38095238095238,Happy,Interested,Surprised,Bored,Angry,None of the above,O-V1D,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Happy,False,True,30336.0,data/EU_Emotion_Stimulus_Set/Original/Happy/OV1D.wav
Happy,High,OV1B,It’s wonderful to see you,no,20,80.0,0.0,20.0,0.0,0.0,0.0,4.030220601691781e-11,75.90361445783132,0.0,3.614457831325301,0.0,0.0,0.0,4.4,3.95,3.95,Happy,Interested,Surprised,Bored,Angry,None of the above,O-V1B,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Happy,False,True,37248.0,data/EU_Emotion_Stimulus_Set/Original/Happy/OV1B.wav
Hurt,High,OV10C,What are you going to do?,yes,20,15.0,75.0,5.0,0.0,0.0,5.0,0.43345436222433076,0.0,69.87951807228916,0.0,0.0,0.0,0.0,2.45,3.1,2.75,Hurt,Worried,Unfriendly,Surprised,Happy,None of the above,O-V10C,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Hurt,False,True,30336.0,data/EU_Emotion_Stimulus_Set/Original/Hurt/OV10C.wav
Hurt,High,OV10D,Who told you that? ,yes,22,50.0,4.545454545454546,18.181818181818183,22.727272727272727,0.0,4.545454545454546,5.6418602425445386e-05,39.75903614457831,0.0,1.4238773274917844,6.900328587075573,0.0,0.0,2.22727272727273,3.13636363636364,2.72727272727273,Hurt,Worried,Unfriendly,Surprised,Happy,None of the above,O-V10D,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Hurt,False,True,31104.0,data/EU_Emotion_Stimulus_Set/Original/Hurt/OV10D.wav
Hurt,High,OV10A,That’s not very nice,no,23,73.91304347826086,4.3478260869565215,8.695652173913043,4.3478260869565215,0.0,8.695652173913043,2.1377074554962405e-09,68.56993190151911,0.0,0.0,0.0,0.0,0.0,2.39130434782609,3.0,3.0,Hurt,Worried,Unfriendly,Surprised,Happy,None of the above,O-V10A,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Hurt,False,True,38784.0,data/EU_Emotion_Stimulus_Set/Original/Hurt/OV10A.wav
Hurt,High,fix__OV10B,How can you say that to me?,no,25,80.0,0.0,0.0,12.0,8.0,0.0,2.8843594179761567e-13,75.90361445783132,0.0,0.0,0.0,0.0,0.0,2.08,3.52,3.52,Hurt,Worried,Unfriendly,Surprised,Happy,None of the above,O-V10Bx,O,21,Female,True,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Hurt,False,True,34944.0,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Hurt/fix__OV10B.wav
Jealous,High,OV11D,"Yes, it happened again ",yes,24,0.0,29.166666666666668,45.83333333333333,20.833333333333336,0.0,4.166666666666666,0.9874208847875247,0.0,14.658634538152612,34.738955823293175,4.618473895582329,0.0,0.0,2.08333333333333,3.54166666666667,3.29166666666667,Jealous,Disappointed,Disgusted,Interested,Kind,None of the above,O-V11D,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Jealous,False,True,39936.0,data/EU_Emotion_Stimulus_Set/Original/Jealous/OV11D.wav
Jealous,High,OV11E,Who told you that?,yes,20,5.0,15.0,40.0,20.0,5.0,15.0,0.8695797334770559,0.0,0.0,27.710843373493976,3.614457831325301,0.0,0.0,2.25,3.45,3.25,Jealous,Disappointed,Disgusted,Interested,Kind,None of the above,O-V11E,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Jealous,False,True,32256.0,data/EU_Emotion_Stimulus_Set/Original/Jealous/OV11E.wav
Jealous,High,OV11B,There’s none left for me,no,20,30.0,55.00000000000001,5.0,0.0,0.0,10.0,0.037135343038672386,15.662650602409636,45.78313253012048,0.0,0.0,0.0,0.0,1.8,3.7,3.35,Jealous,Disappointed,Disgusted,Interested,Kind,None of the above,O-V11B,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Jealous,False,True,35328.0,data/EU_Emotion_Stimulus_Set/Original/Jealous/OV11B.wav
Joking,High,OV12H,Yes it happened again,yes,20,10.0,5.0,30.0,25.0,20.0,10.0,0.6713409283621807,0.0,0.0,15.662650602409636,9.638554216867469,3.614457831325301,0.0,3.6,3.55,3.35,Joking,Kind,Interested,Proud,Angry,None of the above,O-V12H,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Joking,False,True,30336.0,data/EU_Emotion_Stimulus_Set/Original/Joking/OV12H.wav
Joking,High,OV12C,What will we do now? ,yes,20,55.00000000000001,0.0,0.0,15.0,20.0,10.0,1.5294887418804137e-05,45.78313253012048,0.0,0.0,0.0,3.614457831325301,0.0,3.6,3.55,3.4,Joking,Kind,Interested,Proud,Angry,None of the above,O-V12C,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Joking,False,True,38784.0,data/EU_Emotion_Stimulus_Set/Original/Joking/OV12C.wav
Joking,High,OV12A,Made you look!,no,20,90.0,0.0,5.0,0.0,5.0,0.0,2.7644553313166398e-14,87.95180722891567,0.0,0.0,0.0,0.0,0.0,3.45,3.4,3.15,Joking,Kind,Interested,Proud,Angry,None of the above,O-V12A,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Joking,False,True,25344.0,data/EU_Emotion_Stimulus_Set/Original/Joking/OV12A.wav
Disgusted,Low,OV6A,"Eugh, I can’t look",no,21,76.19047619047619,9.523809523809524,14.285714285714285,0.0,0.0,0.0,1.7833978738224232e-10,71.31382673551347,0.0,0.0,0.0,0.0,0.0,1.85714285714286,3.9047619047619,2.95238095238095,Disgusted,Afraid,Frustrated,Sad,Interested,None of the above,O-V6A,O,21,Female,False,data/EU_Emotion_Stimulus_Set/Original/Disgusted - Low Intensity,False,True,37248.0,data/EU_Emotion_Stimulus_Set/Original/Disgusted - Low Intensity/OV6A.wav
Afraid,High,HV3G,Is this for me?,yes,21,4.761904761904762,4.761904761904762,4.761904761904762,14.285714285714285,28.57142857142857,42.857142857142854,0.8869691023467817,0.0,0.0,0.0,0.0,13.941480206540444,31.153184165232357,3.38095238095238,3.14285714285714,2.9047619047619,Afraid,Ashamed,Unfriendly,Disappointed,Kind,None of the above,H-V3G,H,62,Male,False,data/EU_Emotion_Stimulus_Set/Original/Afraid,False,True,24960.0,data/EU_Emotion_Stimulus_Set/Original/Afraid/HV3G.wav
Afraid,High,HV3H,What’s all this? ,yes,21,9.523809523809524,14.285714285714285,19.047619047619047,38.095238095238095,9.523809523809524,9.523809523809524,0.70438072921466,0.0,0.0,2.467010900745838,25.41594951233505,0.0,0.0,2.55,2.95,2.95,Afraid,Ashamed,Unfriendly,Disappointed,Kind,None of the above,H-V3H,H,62,Male,False,data/EU_Emotion_Stimulus_Set/Original/Afraid,False,True,31104.0,data/EU_Emotion_Stimulus_Set/Original/Afraid/HV3H.wav
Afraid,High,HV3E,I knew it would happen,yes,20,15.0,5.0,10.0,60.0,0.0,10.0,0.43345436222433076,0.0,0.0,0.0,51.80722891566265,0.0,0.0,2.25,2.95,2.95,Afraid,Ashamed,Unfriendly,Disappointed,Kind,None of the above,H-V3E,H,62,Male,False,data/EU_Emotion_Stimulus_Set/Original/Afraid,False,True,24960.0,data/EU_Emotion_Stimulus_Set/Original/Afraid/HV3E.wav
Afraid,High,fix__HV3F,Here we go again ,yes,21,42.857142857142854,9.523809523809524,9.523809523809524,19.047619047619047,9.523809523809524,9.523809523809524,0.004243560494012311,31.153184165232357,0.0,0.0,2.467010900745838,0.0,0.0,2.33333333333333,3.57142857142857,3.23809523809524,Afraid,Ashamed,Unfriendly,Disappointed,Kind,None of the above,H-V3Fx,H,62,Male,True,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Afraid,False,True,23808.0,data/EU_Emotion_Stimulus_Set/Fixed - amplified volume/Afraid/fix__HV3F.wav
Ashamed,High,HV13C,What are you going to do?,yes,22,4.545454545454546,9.090909090909092,68.18181818181817,4.545454545454546,0.0,13.636363636363635,0.9021848001077919,0.0,0.0,61.66484118291346,0.0,0.0,0.0,2.36363636363636,2.90909090909091,3.0,Ashamed,Disappointed,Worried,Unfriendly,Proud,None of the above,H-V13C,H,62,Male,False,data/EU_Emotion_Stimulus_Set/Original/Ashamed,False,True,27648.0,data/EU_Emotion_Stimulus_Set/Original/Ashamed/HV13C.wav
Ashamed,High,HV13F,Bet you weren't expecting that,yes,20,5.0,45.0,5.0,35.0,5.0,5.0,0.8695797334770559,0.0,33.734939759036145,0.0,21.686746987951803,0.0,0.0,2.45,3.0,3.15,Ashamed,Disappointed,Worried,Unfriendly,Proud,None of the above,H-V13F,H,62,Male,False,data/EU_Emotion_Stimulus_Set/Original/Ashamed,False,True,28800.0,data/EU_Emotion_Stimulus_Set/Original/Ashamed/HV13F.wav
Ashamed,High,HV13E,This doesn't look good ,yes,20,5.0,40.0,45.0,0.0,0.0,10.0,0.8695797334770559,0.0,27.710843373493976,33.734939759036145,0.0,0.0,0.0,1.9,2.65,2.4,Ashamed,Disappointed,Worried,Unfriendly,Proud,None of the above,H-V13E,H,62,Male,False,data/EU_Emotion_Stimulus_Set/Original/Ashamed,False,True,28416.0,data/EU_Emotion_Stimulus_Set/Original/Ashamed/HV13E.wav
Bored,High,HV8C,What will we do now? ,yes,21,28.57142857142857,38.095238095238095,4.761904761904762,9.523809523809524,9.523809523809524,9.523809523809524,0.04791953403692162,13.941480206540444,25.41594951233505,0.0,0.0,0.0,0.0,2.85,2.9,2.75,Bored,Frustrated,Sad,Hurt,Excited,None of the above,H-V8C1,H,62,Male,False,data/EU_Emotion_Stimulus_Set/Original/Bored,True,True,34176.0,data/EU_Emotion_Stimulus_Set/Original/Bored/HV8C.wav
Bored,High,HV8B,How much longer!,no,20,30.0,60.0,0.0,5.0,0.0,5.0,0.037135343038672386,15.662650602409636,51.80722891566265,0.0,0.0,0.0,0.0,2.1,3.1,2.65,Bored,Frustrated,Sad,Hurt,Excited,None of the above,H-V8B,H,62,Male,False,data/EU_Emotion_Stimulus_Set/Original/Bored,False,True,34944.0,data/EU_Emotion_Stimulus_Set/Original/Bored/HV8B.wav
